time	V(clk)	V(d)	V(q)	V(r)
1.001756315384851e-007	1.800000e+000	1.800000e+000	-1.913880e-004	0.000000e+000
1.002003527809339e-007	1.800000e+000	1.800000e+000	-8.118866e-005	0.000000e+000
1.002279531707126e-007	1.800000e+000	1.800000e+000	-1.468369e-005	0.000000e+000
1.002735686089998e-007	1.800000e+000	1.800000e+000	3.441769e-006	0.000000e+000
1.003343139848030e-007	1.800000e+000	1.800000e+000	1.666802e-006	0.000000e+000
1.004343139848030e-007	1.800000e+000	1.800000e+000	-7.892390e-008	0.000000e+000
1.005343139848030e-007	1.800000e+000	1.800000e+000	5.014067e-008	0.000000e+000
1.006343139848030e-007	1.800000e+000	1.800000e+000	-5.330890e-009	0.000000e+000
1.007343139848030e-007	1.800000e+000	1.800000e+000	1.349565e-008	0.000000e+000
1.008343139848030e-007	1.800000e+000	1.800000e+000	7.818016e-009	0.000000e+000
1.009343139848030e-007	1.800000e+000	1.800000e+000	9.427367e-009	0.000000e+000
1.010343139848030e-007	1.800000e+000	1.800000e+000	8.508778e-009	0.000000e+000
1.011343139848029e-007	1.800000e+000	1.800000e+000	9.850396e-009	0.000000e+000
1.013914568419458e-007	1.800000e+000	1.800000e+000	1.239121e-008	0.000000e+000
1.016485996990886e-007	1.800000e+000	1.800000e+000	1.469930e-008	0.000000e+000
1.019057425562315e-007	1.800000e+000	1.800000e+000	1.677467e-008	0.000000e+000
1.021628854133743e-007	1.800000e+000	1.800000e+000	1.861731e-008	0.000000e+000
1.024200282705172e-007	1.800000e+000	1.800000e+000	2.022723e-008	0.000000e+000
1.026771711276600e-007	1.800000e+000	1.800000e+000	2.160443e-008	0.000000e+000
1.029343139848028e-007	1.800000e+000	1.800000e+000	2.274891e-008	0.000000e+000
1.039200282705171e-007	1.800000e+000	1.800000e+000	1.788354e-008	0.000000e+000
1.049057425562313e-007	1.800000e+000	1.800000e+000	1.400495e-008	0.000000e+000
1.058914568419455e-007	1.800000e+000	1.800000e+000	1.111314e-008	0.000000e+000
1.068771711276598e-007	1.800000e+000	1.800000e+000	9.208111e-009	0.000000e+000
1.078628854133740e-007	1.800000e+000	1.800000e+000	8.289862e-009	0.000000e+000
1.088485996990882e-007	1.800000e+000	1.800000e+000	8.358391e-009	0.000000e+000
1.098343139848025e-007	1.800000e+000	1.800000e+000	9.413701e-009	0.000000e+000
1.099020000000000e-007	1.800000e+000	1.800000e+000	-1.252604e-008	0.000000e+000
1.099159999999998e-007	1.800000e+000	1.800000e+000	9.323061e-009	0.000000e+000
1.099999999999904e-007	1.800000e+000	1.800000e+000	8.665436e-009	0.000000e+000
1.100010000000000e-007	1.800000e+000	1.800000e+000	8.664965e-009	0.000000e+000
1.100010766152420e-007	1.662093e+000	1.800000e+000	-6.340520e-003	0.000000e+000
1.100012298457261e-007	1.386278e+000	1.800000e+000	-1.967782e-002	0.000000e+000
1.100015363066943e-007	8.346480e-001	1.800000e+000	-4.888317e-002	0.000000e+000
1.100016752742477e-007	5.845063e-001	1.800000e+000	-6.259207e-002	0.000000e+000
